Domain,Time Visited
reef-education,40
iclicker,7
newtab,85
google_search,67
wikipedia,2
lbsg,3
about,3
microsoft,2
linkedin,1
soundcloud,1
yorku,29
github,19
githubusercontent,1
mozilla,1
drorbn,12
alternativeto,1
toronto,9
harvard,5
stackoverflow,1
