Url,Domain
https://bluewworks.wordpress.com/classes/,bluewworks.wordpress.com
https://bluewworks.github.io/classes/york/Introduction%20to%20Microeconomics/,bluewworks.github.io
https://wordpress.com/page/bluewworks.wordpress.com/5010,wordpress.com
view-source:https://bluewworks.github.io/classes/,
chrome://newtab/,newtab
https://books.scholarsportal.info/en/read?id=/ebooks/ebooks3/ogdc/2017-10-10/3/337309-3#page=NaN,books.scholarsportal.info
https://www.library.yorku.ca/find/Search/Results?type=AllFields&lookfor=Cambridge&mylang=en,www.library.yorku.ca
https://onedrive.live.com/?authkey=%21AI5U%5FsVgpU0wCio&cid=B680609FB3A97FED&id=B680609FB3A97FED%21157&parId=root&o=OneUp,onedrive.live.com
https://www.google.com/search?q=york+libarry&rlz=1C1CHBF_enCA854CA854&oq=york+libarry&aqs=chrome..69i57j0l5.4839j0j7&sourceid=chrome&ie=UTF-8,www.google.com
https://github.com/,github.com
https://login.live.com/login.srf?wa=wsignin1.0&rpsnv=13&ct=1569722172&rver=7.1.6819.0&wp=MBI_SSL_SHARED&lc=1033&id=250206&cbcxt=sky&ru=https%3A%2F%2Fonedrive%2Elive%2Ecom%2F%3Fid%3DB680609FB3A97FED%2521157%26cid%3DB680609FB3A97FED%26action%3DShareByLink%26authkey%3D%2521AI5U%255FsVgpU0wCio&wreply=https%3A%2F%2Fonedrive%2Elive%2Ecom%2F%3Fid%3DB680609FB3A97FED%2521157%26cid%3DB680609FB3A97FED%26action%3DShareByLink%26authkey%3D%2521AI5U%255FsVgpU0wCio,login.live.com
https://allowingchain.wordpress.com/home/fourth-year-courses/sc-math-4090-3-00mathematical-modelling/,allowingchain.wordpress.com
https://datawworks.wordpress.com/,datawworks.wordpress.com
https://www.paypal.com/paypalme2/mathwworks,www.paypal.com
https://datawworks.fandom.com/wiki/Datawworks_Wiki,datawworks.fandom.com
https://mathwworks.wordpress.com/,mathwworks.wordpress.com
https://drive.google.com/drive/u/2/my-drive,drive.google.com
https://mail.google.com/mail/u/2/?tab=wm&ogbl#inbox/FMfcgxwDrRWCDGqlkJLMkLZbzrXTLXfp,mail.google.com
https://moodle.yorku.ca/moodle/course/view.php?id=162206,moodle.yorku.ca
